timestamp,open,high,low,close,volume
2012-03-06,492.61,492.61,492.61,492.61,0.0
2012-03-11,490.73,490.73,490.73,490.73,0.0
2012-03-12,489.8,489.8,489.8,489.8,0.0
2012-03-13,489.6,489.6,489.6,489.6,0.0
2012-03-14,489.13,489.13,489.13,489.13,0.0
2012-03-15,488.39,488.39,488.39,488.39,0.0
2012-03-18,491.0,491.0,491.0,491.0,0.0
2012-03-19,490.44,490.44,490.44,490.44,0.0
2012-03-20,483.39,483.39,483.39,483.39,0.0
2012-03-21,480.38,480.38,480.38,480.38,0.0
2012-03-25,479.08,479.08,479.08,479.08,0.0
2012-03-26,471.56,471.56,471.56,471.56,0.0
2012-03-27,471.1,471.1,471.1,471.1,0.0
2012-03-28,462.13,462.13,462.13,462.13,0.0
2012-03-29,458.06,458.06,458.06,458.06,0.0
2012-04-01,468.12,468.12,468.12,468.12,0.0
2012-04-02,476.06,476.06,476.06,476.06,0.0
2012-04-03,476.63,476.63,476.63,476.63,0.0
2012-04-04,475.76,475.76,475.76,475.76,0.0
2012-04-05,472.25,472.25,472.25,472.25,0.0
2012-04-08,473.07,473.07,473.07,473.07,0.0
2012-04-09,467.88,467.88,467.88,467.88,0.0
2012-04-10,467.71,467.71,467.71,467.71,0.0
2012-04-11,472.64,472.64,472.64,472.64,0.0
2012-04-12,501.5,501.5,501.5,501.5,0.0
2012-04-15,536.75,536.75,536.75,536.75,0.0
2012-04-16,543.28,543.28,543.28,543.28,0.0
2012-04-17,531.27,531.27,531.27,531.27,0.0
2012-04-18,541.43,541.43,541.43,541.43,0.0
2012-04-19,545.55,545.55,545.55,545.55,0.0
2012-04-22,561.69,561.69,561.69,561.69,0.0
2012-04-24,593.13,593.13,593.13,593.13,0.0
2012-04-25,633.82,633.82,633.82,633.82,0.0
2012-04-26,637.97,637.97,637.97,637.97,0.0
2012-04-29,646.42,646.42,646.42,646.42,0.0
2012-04-30,646.84,646.84,646.84,646.84,0.0
2012-05-02,612.3,612.3,612.3,612.3,0.0
2012-05-03,625.18,625.18,625.18,625.18,0.0
2012-05-07,650.52,650.52,650.52,650.52,0.0
2012-05-08,688.06,688.06,688.06,688.06,0.0
2012-05-09,677.39,677.39,677.39,677.39,0.0
2012-05-10,660.88,660.88,660.88,660.88,0.0
2012-05-13,635.72,635.72,635.72,635.72,0.0
2012-05-14,611.56,611.56,611.56,611.56,0.0
2012-05-15,659.13,659.13,659.13,659.13,0.0
2012-05-16,684.8,684.8,684.8,684.8,0.0
2012-05-17,701.49,701.49,701.49,701.49,0.0
2012-05-20,670.46,670.46,670.46,670.46,0.0
2012-05-21,670.18,670.18,670.18,670.18,0.0
2012-05-22,658.55,658.55,658.55,658.55,0.0
2012-05-23,635.97,635.97,635.97,635.97,0.0
2012-05-24,646.06,646.06,646.06,646.06,0.0
2012-05-27,667.7,667.7,667.7,667.7,0.0
2012-05-29,623.72,623.72,623.72,623.72,0.0
2012-05-30,585.79,585.79,585.79,585.79,0.0
2012-05-31,582.77,582.77,582.77,582.77,0.0
2012-06-03,623.4,623.4,623.4,623.4,0.0
2012-06-04,599.3,599.3,599.3,599.3,0.0
2012-06-05,583.45,583.45,583.45,583.45,0.0
2012-06-06,576.77,576.77,576.77,576.77,0.0
2012-06-07,586.87,586.87,586.87,586.87,0.0
2012-06-10,577.02,577.02,577.02,577.02,0.0
2012-06-11,582.28,582.28,582.28,582.28,0.0
2012-06-12,581.11,581.11,581.11,581.11,0.0
2012-06-13,580.85,580.85,580.85,580.85,0.0
2012-06-14,585.7,585.7,585.7,585.7,0.0
2012-06-17,584.74,584.74,584.74,584.74,0.0
2012-06-18,589.2,589.2,589.2,589.2,0.0
2012-06-19,587.79,587.79,587.79,587.79,0.0
2012-06-20,595.66,595.66,595.66,595.66,0.0
2012-06-21,601.01,601.01,601.01,601.01,0.0
2012-06-25,614.89,614.89,614.89,614.89,0.0
2012-06-26,612.55,612.55,612.55,612.55,0.0
2012-06-27,621.87,621.87,621.87,621.87,0.0
2012-06-28,626.07,626.07,626.07,626.07,0.0
2012-07-01,620.64,620.64,620.64,620.64,0.0
2012-07-02,612.93,612.93,612.93,612.93,0.0
2012-07-03,614.91,614.91,614.91,614.91,0.0
2012-07-04,623.88,623.88,623.88,623.88,0.0
2012-07-05,630.09,630.09,630.09,630.09,0.0
2012-07-08,639.56,639.56,639.56,639.56,0.0
2012-07-09,649.09,649.09,649.09,649.09,0.0
2012-07-10,660.72,660.72,660.72,660.72,0.0
2012-07-11,664.2,664.2,664.2,664.2,0.0
2012-07-12,663.67,663.67,663.67,663.67,0.0
2012-07-15,683.56,683.56,683.56,683.56,0.0
2012-07-16,667.27,667.27,667.27,667.27,0.0
2012-07-17,670.38,670.38,670.38,670.38,0.0
2012-07-18,680.29,680.29,680.29,680.29,0.0
2012-07-19,685.49,685.49,685.49,685.49,0.0
2012-07-22,709.99,709.99,709.99,709.99,0.0
2012-07-23,704.84,704.84,704.84,704.84,0.0
2012-07-24,691.99,691.99,691.99,691.99,0.0
2012-07-25,701.57,701.57,701.57,701.57,0.0
2012-07-26,705.61,705.61,705.61,705.61,0.0
2012-07-29,691.21,691.21,691.21,691.21,0.0
2012-07-30,692.59,692.59,692.59,692.59,0.0
2012-07-31,693.12,693.12,693.12,693.12,0.0
2012-08-01,711.38,711.38,711.38,711.38,0.0
2012-08-05,716.92,716.92,716.92,716.92,0.0
2012-08-06,722.87,722.87,722.87,722.87,0.0
2012-08-07,741.22,741.22,741.22,741.22,0.0
2012-08-08,768.34,768.34,768.34,768.34,0.0
2012-08-12,765.07,765.07,765.07,765.07,0.0
2012-08-13,756.73,756.73,756.73,756.73,0.0
2012-08-14,764.54,764.54,764.54,764.54,0.0
2012-08-15,746.64,746.64,746.64,746.64,0.0
2012-08-16,748.43,748.43,748.43,748.43,0.0
2012-08-19,754.81,754.81,754.81,754.81,0.0
2012-08-21,758.52,758.52,758.52,758.52,0.0
2012-08-22,770.53,770.53,770.53,770.53,0.0
2012-08-23,777.29,777.29,777.29,777.29,0.0
2012-08-26,776.28,776.28,776.28,776.28,0.0
2012-08-27,782.68,782.68,782.68,782.68,0.0
2012-08-28,790.73,790.73,790.73,790.73,0.0
2012-08-29,791.84,791.84,791.84,791.84,0.0
